Name,Affiliation,h-index,i10-index,Citations
Pranab Kumar Ghosh,IIT Guwahati,21,33,1557
Prasanta Kumar Ghosh,"Associate Professor, Indian Institute of Science (IISc), Bangalore",27,81,3998
R.A. Ilyas,Universiti Teknologi Malaysia,81,246,21752
Rajat Agrawal,"Professor, Department of Management Studies, IIT Roorkee",33,74,4250
Raj Kumar Gupta,Institute of High Performance Computing - Singapore,14,17,1665
Prof.(Dr.) Ram Swaroop Verma,Lucknow university,82,373,25233
Ranjeet Kumar,Senior Software Engineer,50,326,33790
Dr. Ratnadip Adhikari,"Associate Principal (Data Science) at Tiger Analytics, India",18,20,2441
Roopak Sinha,Deakin University,23,51,1665
Bishnu Acharya,University of Saskatchewan,38,88,5454
Sajal K. Das,"Curators' Distinguished Professor & Daniel St. Clair Endowed Chair, Computer Science, Missouri S&T",102,652,44005
Dr Sanjay Kumar,"Professor, Department of Mechanical Engineering, Dr. Akhilesh Das Gupta Institute of Technology",32,93,6334
Shantanu Debnath,"Senior Staff Physicist, IonQ",16,19,4622
Dr. Himadry Shekhar Das,"Department of Electrical Engineering, The university of Alabama",16,23,3302
Sourav Debnath,Vidyasagar University,12,17,447
Subhasish Dey,"Distinguished Professor, Indian Institute of Technology Jodhpur, Jodhpur, Rajasthan, India",53,187,9977
"Subrata Mondal, PhD","Associate Professor, Department of Mechanical Engineering, National Institute of Technical Teachers",30,50,5210
SUBRATA SARKAR,Bangabandhu Sheikh Mujibur Rahman Aviation And Aerospace University,56,176,13826
Sudip Banerjee,"National Institute of Technology, Sikkim",11,13,466
Sujata Mandal,"CSIR-Central Leather Research Institute, Chennai, India",18,24,1973
Sumita Datta,"SPJIMR, Mumbai & ISCSP, University of Lisbon",5,5,1248
Swapnatai A Meshram,"Director Professor & Head of Physiology, ESIC Medical College & Hospital, K. K. Nagar, Chennai, TN",3,0,26
Tanmoy Chakraborty,"IIT Delhi, India",44,150,7769
Tapas Kumar Pal,Assistant Professor,2,0,17
Tushar Kanti Bhattacharya,"Assistant Professor, C V Raman Global University",2,2,101
Dr. Uttiya Bhattacharyya,NIET affiliation,1,0,4
"Vikesh K. Singh, MD, MSc",Johns Hopkins University School of Medicine,69,219,19122
gurvinder singh yadav,3rd Year Undergrad at IIIT Dharwad,0,0,0
Ashish Lele,"Scientist, National Chemical Laboratory",34,68,4812
Dipen Shah,Assistant Professor of Chemistry,7,7,416
Keerthana Jyotheeswara Pillai,University of California Riverside,3,2,49
Mythily Subramaniam,National University of Singapore; Institute of Mental Health,75,359,40468
Somesh Jha,"Lubar Chair of Computer Science, University of Wisconsin",93,252,53674
Rahul Sugriv Waghmare,"Assistant Professor, Dayanand education society's Dayanand College of Pharmacy, Latur",1,1,17
Suresh D Kulkarni,"Associate Professor, Department of Atomic and Molecular Physics, Manipal Academy of Higher Education",26,65,2433
Srijit Bhattacharya,"Associate Professor of Physics, Barasat Government College",22,41,1209
Dr. U.P.Mulik,"Centre for Materials for Electronics Technology,(C-MET),Pune(INDIA)",30,56,3735
Sridhar Muppidi,"CTO, IBM Security",22,29,2333
Alok Prakash Mittal,"Emeritus Professor, Instrumentation and Control Engineering, NSUT Delhi",24,54,2036
Amitabha Tripathi,Indian Institute of Technology Delhi,16,22,862
Archana Singh-Manoux,"Research Professor, Inserm",133,389,57050
ASHISH KUMAR SINGH,"INTEGRAL UNIVERSITY, LUCKNOW",82,690,35050
Ashutosh Kumar Pandey,"Postdoc at University of Tsukuba, PhD from IIT Bombay",95,293,28550
Pandey S.B.S.,Associate professor,5,4,109
Bal Ram Singh,Institute of Advanced Sciences,48,193,10139
Bikash Chandra Mohapatra or B.C. Mohapatra,Principal Scientist,13,24,1145
Chandra prakash,Student SOS physical education,60,297,14712
Dhiraj Gupta,"Department of Cardiology, Liverpool Heart and Chest Hospital",47,119,9475
Gopal Prasad,"K. P. Engineering College, Agra",44,85,8088
HIMANSHU GUPTA,PGIMER,73,420,24068
Dr. Sonalika Agarwal,"Hiroshima University, Japan",14,17,907
Jagdish Chand Bansal,"Associate Professor (Senior Grade), South Asian University, India",35,81,5735
Kamal Kant Sharma,"Prof. of Geology, Sangam University, Bhilwara 311001, Rajasthan, India",16,23,954
Dr. M.K. Jha,Purdue University,194,782,207815
"Prof. (Dr.) Mahendra Nath Roy, FRSC(London)","Chemistry Professor, Dean of Sc & Arts, North Bengal University & Founder VC,  Alipurduar University",54,936,27321
"Naresh Chandra Murmu, PhD","CSIR-Central Mechanical Engineering Research Institute, Durgapur",51,135,8251
Prabhat K. Gupta,"CSIR-National Physical Laboratory, New Delhi, India",73,486,26036
Parvinder Pal Singh,"Scientist, Medicinal Chemistry Division, CSIR-Indian Institute of Integrative Medicine, Jammu",40,152,15374
Rakesh Pandey,"CSIR-Central Institute of Medicinal and Aromatic Plants, P.O. CIMAP, Lucknow",35,125,4617
Rakesh Singh,R.K.University,111,970,62223
Chandra Shekhar Nautiyal,Swami Rama Himalayan University (SRHU),55,121,14200
Ram Prasad,"Mahatma Gandhi Central Univ.,Bihar; Sun Yat-sen Univ. China; Johns Hopkins Univ. USA; Amity Univ.",70,240,20071
Prof. Ravi Shankar,"Professor, Department of Management Studies, IIT Delhi",88,307,46374
SAURABH JAIN,"Assistant professor, MGMMC, indore",28,88,3717
Shalini Talwar,"Professor, S P Jain Institute of Management and Research: Mumbai, Maharashtra, IN",45,63,9117
Prof. Shashi Kant Mishra,"Senior Professor, Department of Mathematics, Institute of Science, Banaras Hindu University, India",38,167,5992
Dr Shiv Kumar Sarin,Institute of Liver and Biliary Sciences,119,633,75064
Dr. V. Shyam Kumar,"Professor in Biotechnology, Karnatak University, Dharwad",86,303,30216
T.P. Sharma,"Associate Professor of Computer Science and Engineering, National Institute of Technology Hamirpur",16,26,1075
Teerath Kumar,"Doctoral Researcher at Adapt Centre and CRT-AI,  Dublin City University, Ireland",17,23,1099
Vandana Singh,"University of Bath, UK",23,28,17472
Avinash Kumar Agarwal,Indian Institute of Technology Kanpur,73,311,28338
Dr. Ashok Kumar Sharma,"Meerut College, Meerut (Affliatetd to C.C.S. University, Meerut)",67,470,20160
Ajay Kumar Singh,"Harvard, Brigham and Women's",97,741,52295
Anil K. Suresh,Associate Professor/Ramalingaswami Fellow,21,29,4101
"Ashutosh K Tewari, MD","Chairman, Department of Urology, Icahn School of Medicine at Mount Sinai, NY, USA",85,275,33182
Chandan Kumar Jha,Le Moyne College,14,17,918
Dr. Kajal Sharma,"Postdoc, Chosun University, Korea",44,276,10499
Tarunveer Singh Ahluwalia,"Senior Researcher/PI (Clinical Omics and Bioinformatics) Steno Diabetes Center Copenhagen, Gentofte",60,123,17065
Siddharth Paliwal,BITS Pilani K.K. Birla Goa Campus,2,0,6
NEERAJ KUMAR,Professor & Chairman Department of Microbiology,29,69,3615
P. K. SINGH,"Professor in Life Sciences, Manipur University",56,382,17418
Rakesh K Gupta,West Virginia University,70,422,29620
Rakesh Kumar Sharma,"Assistant Professor of computer science, Amrapali University",84,620,35530
Rakesh Singh,R.K.University,111,970,62223
Rajesh K Tewari,"Department of Botany, University of Lucknow, Lucknow-226007",30,40,3583
Sunil K Agrawal,"Edwin H. Armstrong Professor of Mechanical Engineering & Rehab Medicine, Columbia University",74,357,23453
Sandeep Kumar Dube,indiatours,85,919,43614
"Sanjib Kumar Sharma MD,DM,FRCP, FISN,FESC,FACC","Professor of Medicine (Cardiology, Nephrology and Snakebite)",53,190,33387
Sunil Kumar Singh,"Assistant professor of Mechanical Engineering Department, SIEM, Siliguri",59,437,20374
Suman Kumar Roy,"Senior Research Officer, Pothikrit Institute of Health Studies",31,119,5029
Seema Kaushalya Tiwari-Woodruff,"Professor, Division of Biomedical Sciences, University of California-Riverside",31,44,4515
S.N. pandey,"BOTANY DEPARTMENT,LUCKNOW UNIVERSITY",25,49,1823
"Vikesh K. Singh, MD, MSc",Johns Hopkins University School of Medicine,69,219,19129
Vinod Kumar Tiwari,"Professor, Organic Chemistry, Banaras Hindu University, Varanasi, India",47,136,9355
Avijit Sarkar,University of Kalyani,33,74,3427
Ajay Kumar Jana,Ph.D Scholar,9,9,293
Dr. Alok Prasad Das,"Department of Life sciences, Rama Devi Women's University",43,85,5576
Amitabh Sinha,Amazon,28,35,2488
Anindya Biswas,"Associate Professor of Physics, National Institute of Technology Sikkim, India",9,7,249
Anirban Patra,"Associate Professor, IIT Bombay",17,22,966
Dr. Arun Kumar Maiti,"Associate Professor, Dept. of Mathematics",4,0,44
Bidyut Kumar Kundu,"University of Cincinnati, USA",18,28,1015
Debabrata Goswami,"Professor, IIT Kanpur",31,94,4487
Debjani Dutta,National Institute of Technology Durgapur,21,46,1681
deepankar sinha,"PROFESSOR, INDIAN INSTITUTE OF FOREIGN TRADE",11,12,446
Prof. Goutam Kumar Patra,"Guru Ghasidas Vishwavidyalaya, Bilaspur, C.G. India",34,65,2809
Hemanta Kumar Maity,Assistant Professor,7,6,304
Indrajit Sen,Scientist,4,3,237
Jayant Kumar Rai,"Lecturer (Electronics and Telecommunication), RKR Government Polytechnic,Janjgir Champa (C.G.),India",8,6,156
Jayeeta Mitra,"Associate Professor, IIT Kharagpur",16,23,1008
Joydeep Mitra,Michigan State University,41,122,6696
Dr. Kalpana Borse,professor of pediatric nursing,1,0,1
Nirmal Kumar Mishra,"Patna University, University of North Carolina, Chapel Hill",5,2,69
Parthasarathi Das  FRSC,Indian Institute of Technology (ISM) Dhanbad,29,66,2245
Prasanjit Santosh Kumar Karre,Everspin Technologies Inc,6,4,184
Prasenjit Kumar Patra,"Research Scholar , Indian Institute Of Engineering Science and Technology , Shibpur",6,3,165
Rajib Ghosh Chaudhuri,"Assistant Professor, Chemical Engineering, NIT Durgapur",16,18,5283
Rupa Kumar Kolli,International Monsoons Project office,11,11,7808
Somnath Gupta,Ph.D. research scholar at Assam University Silchar,4,3,58
Dr. Soumitra Mukherjee,Research Scholar,12,15,516
Sourav Kr. Saha,Korea Advanced Institute of Science and Technology,31,43,5219
Subhabrata Mukherjee,"Chief Scientist, Hippocratic AI",31,53,4472
Sushmita Goswami,Graduate,8,8,284
Swarnava Ghosh,"Scientist, Oak Ridge National Laboratory. Previously at Caltech and Georgia Tech.",8,6,385
Swarup Dey,"Senior Scientist, Thermofisher Scientific",3,3,707
Utpal Kumar Das,"Assistant Professor of Dept of EEE, DUET, and Research Student (University of Malaya, Malaysia)",5,4,1482
"Vinod K. Misra, MD PhD","Central Michigan University School of Medicine, Chldren's Hospital of Michigan",29,45,4550
Vyacheslav Volkov,"Leading scientist, Kurnakov Institute of General and Inorganic Chemistry, RAS, Russia",23,34,3305
Abhishek Shukla,"Navsari Agricultural University, Navsari, Gujarat, India",18,42,1517
Anirban Chakraborty,"Professor and Director, Nitte University Centre for Science Education and Research, NITTE",23,32,2507
Anurag Bhardwaj,Apple Inc,26,50,2519
Atul Dubey,"Director, Pharmaceutical Continuous Manufacturing, United States Pharmacopeial Convention",18,27,1156
Vivek J Srinivasan,"Associate Professor of Radiology and Ophthalmology, NYU Langone",53,111,12413
Kallol Roy,"Senior Engineer, Technology Development, Micron Technology",10,10,1978
Manoj Kumar Mishra,University of Calgary,30,41,3515
Mohit L. Deb,University of Science & Technology Meghalaya,25,45,1967
Dr.Vijay Viswanathan,Prof. M Viswanathan Diabetes Research Center and MV Hospital for diabetes,75,293,27222
Sandeep Kumar Dube,indiatours,85,919,43614
S.P.Singh,Hony. Scientist Indian National Science Academy (INSA),60,451,20852
Sourangsu Banerji,"Lead Optical Designer, Irradiant Technologies inc.",20,25,1743
Sudhir Ranjan,"Doctoral Student, Indian Institute of Technology Kanpur",12,12,599
Vijay Kumar Jain,Indian Institute of Technology Kanpur India,94,556,33069
Anand Mohan,Manager(Technical Services),40,104,6740
Diwakar Pandey,"Indian Institute of Technology (Banaras Hindu University) Varanasi, India",11,12,562
Rakesh K Jain,"Massachusetts General Hospital, Harvard Medical School, Carnegie Mellon, Columbia, Delaware",229,665,246019
Surendra P Sharma,NASA Ames Researche Center,40,124,8356
Debashis Sahoo,"Associate Professor of Pediatrics and Computer Science, University of California San Diego",45,91,13180
Dr. Arijit Mallick,"Asst. Professor, JNU. JSPS Fellow, Kyushu University, Japan, KAUST, Saudi Arabia. PhD, NCL-Pune",25,27,5344
Bimal K. Bose,Professor Emeritus in Electrical Engineering,65,170,30087
Biman Bandyopadhyay,MNIT Jaipur,19,26,812
Prof. Debapriya Das,"Professor of Electrical Engineering, Indian Institute of Technology, Kharagpur",56,123,12049
Goutam Chattopadhyay,"NASA-Jet Propulsion Laboratory, California Institute of Technology",56,184,12315
Jayanta kumar Das,Research Scholar,65,297,16330
Kalyanmoy Deb,"University Distinguished Professor, Electrical and Computer Engineering, Michigan State University",145,647,216176
Rajat Subhra Chakraborty,"Professor, Dept. of Computer Science and Engineering, IIT Kharagpur, India - 721302",39,93,7755
Santanu Chatterjee,"Scientist, Research Centre Imarat, DRDO",16,24,1781
Satyabrata Jit,"Indian Institute of Technology (Banaras Hindu University) Varanasi, India",38,138,5283
Soumya kanti Ghosh,"Maulana Abul Kalam University of Technology, WB",4,3,37
Tapas Kumar Maiti,"Professor , Department of Biotechnology",62,228,28247
Umesh Behera,L V Prasad Eye Institute,13,21,699
Vijay Kumar Kuchroo,vkuchroo@evergrande.hms.harvard.edu,171,446,138357
ESWARA DAS,"Research Advisor, Sarada Krishna Homeopathic Medical college, Professor Emitretus, VInayaka Missions Research Foundation,  Former Director, National Institute of Homeopathy, Former Consultant Advisor (Homeopathy) Ministry of AYUSH, Govt of India",2,1,18
Visveswara Mohan Avvari,Monash University Malaysia,12,14,450
C. V. Jawahar,"CVIT, IIIT Hyderabad, India",68,281,22075
Dr Smita Mehendale,"Assistant Professor, Symbiosis International(Deemed University)",7,6,139
K. Madhavan Nampoothiri,"Chief Scientist, Biotechnology Division, CSIR National Institute for Interdisciplinary",56,133,16768
Kadek Nara Widyatnyana,Universitas Pendidikan Ganesha,4,3,69
Madhava K.S Rao,Professor of Statistics,9,9,223
Vijayalakshmi Vasudevan,University of Massachusetts Amherst,0,0,0
Meenakshisundaram Swaminathan,"professor of chemistry, Annamalai university,visiting faculty, Kalasalingam university",63,301,18680
Prof. Sanjeev Goyal,Arthur C. Pigou Professor of Economics,5,5,627
Potluri Venkata Subbaiah,V R Siddhartha Engineering College Vijayawada,12,19,1118
Rajesh Garg,"Professor of Medicine, David Geffen School of Medicine at UCLA, Harbor-UCLA",51,95,14189
S. K.JOSHI,"University of Allahahabad, University of Roorkee, National Physical Lab",24,77,2667
Samir K Srivastava,Indian Institute of Management Lucknow,27,42,14212
Satya R. Chakravarty,Indira Gandhi Institute of Development Research (Mumbai),45,87,10255
Vineet Kumar  Kamal,"Department of Biostatistics, All India Institute of Medical Sciences, Kalyani",19,32,3567
Pramod VR,"NSS College of Engineering, Palakkad",16,28,1159
Prof. (Dr.) T V Ramana Rao,"Professor of Food Technology, VIGNAN's Foundation for Science, Technology & Research(VFSTR) - Deemed",24,39,2762
Ashutosh Sharma,"Chemical Engineering, IITK, IIT Kanpur, Indian Institute of Technology Kanpur",89,405,26628
Ashutosh Gupta,UP Rajarshi Tandon open University Prayagraj,33,162,7076
Alak Kumar Majumdar,Visiting Professor at Harish-Chandra Research Institute (HRI),24,57,5147
Chandrashekhar Sreeramareddy,"Division of Community Medicine, International Medical University",81,125,135919
NIDHI SHARMA,Assistant professor,39,132,5873
chauhan milan,"Assistant Professor, Parul University",5,2,103
Rajneesh Sharma,NSUT Delhi,24,183,5238
Sarvesh Agrawal,"University of Massachusetts, Amherst",10,10,725
Saurabh Saxena,Google Research,11,11,8862
Tarun Jain,Assistant Professor; Department of Nulclear Medicine,29,46,5673
Udit Agarwal,Associate Professor of Computer Science,7,6,284
Dr. Ujjwal Sharma,"Assistant Professor, ADGITM, New Delhi.",5,5,134
Vikas Agarwal,"Professor, Clinical Immunology, Sanjay Gandhi Postgraduate Institute of Medical Sciences (SGPGIMS",49,219,9546
Vikas Singh Chauhan,"Chief Scientist, Plant Cell Biotechnology Department, CSIR-CFTRI, India",23,31,1495
Vivek Sethi,"Assistant Professor, Thapar Institute of Engineering and Technology",5,4,114
Anthony Arulraj,RF-DST,22,33,2637
A.Kavitha,Thiruvalluvar University,25,53,2172
Arusha Cooray,"Professor of Finance, James Cook University",34,62,4683
Chitradevi Sekar Tamilselvi,University of Maryland,6,4,138
Dinesh Giri Goswami,"Scientist II, BioLegend",16,20,572
Dr K. ARULMOZHI,"Bharath University,  Assistant Professor, Department of Mathematics",15,21,643
Mohan K Raizada,"Distinguished Professor of Physiology, University of Florida",93,372,33484
Arun  kumar m s,periodontology,54,434,17247
Mr.S. ILAVARASAN,"Assistant Professor of IT,Saveetha Engineering College",1,0,1
MANIVEL PANNEER SELVAM,Pondicherry university,9,9,322
Aswin Shanmugam Subramanian,Microsoft,19,27,1435
Praveen Satish Kumar,"Assistant professor, Goa Dental college and hospital",48,287,13031
DR. MEENAKSHI CHAUDHARY,"Associate Professor, Dept. of commerce, University of Delhi, India",16,19,7746
Rajkumar Buyya,"School of Computing and Information Systems, The Uni of Melbourne; Fellow of IEEE & Academia Europea",171,803,155958
R Thiagarajan,"Professor , Department of Animal Genetics and Breeding,TNVASU",19,34,1571
vinod kumar rustgi,"Distinguished Prof of Medicine (Gastroenterology), Rutgers Robert Wood Johnson School of Medicine",106,312,104291
Sethumadhavan Chandrasekhar,Retired Nokia Bell Labs,71,345,19638
Saminathan Ponnusamy,"Professor, Indian Institute of Technology Madras, Chennai 600036",49,208,7876
S Ramesh,Associate Professor,102,642,40651
Dr. Saravanan Muthupandian,"Professor - FAMS, UT, AMR and Nanomedicine",80,208,50781
Suresh Doravari,"Scientific Officer, Inter-University Center for Astronomy and Astrophysics",101,177,106166
Sujanitha Umamaheswaran,MD Anderson Cancer Center,6,5,188
Sivapriya Kailasan Vanaja,UCONN Health Center,21,22,6442
Shivakumar Rajamanickam,"Staff Project Scientist, University of California San Diego",9,9,504
Anantawikrama Tungga Atmadja,Universitas Pendidikan Ganesha,31,85,3793
Kanimozhi V,Research Scholar,5,4,422
Professor Abhijit Kumar Das,"Senior Professor, Indian Association for the Cultivation of Science",55,436,17666
Akshay Kumar Sahu,"Research Scholar, School of Chemical Sciences, NISER, Bhubaneswar.",8,7,321
Ashok Kumar Panda,"RARI, Ahmedabad",16,30,1092
Bibhu Prasad Sahu,"Postdoctoral Research Fellow, Materials Sc. & Engineering, University of Michigan",11,14,319
Biswaranjan Rout,"Asst. Prof Mechanical Engineering, ABIT, Cuttack",4,0,34
Dibyendu Chatterjee,"Senior Scientist Soil Science, ICAR National Rice Research Institute",25,51,2256
Sharifuddin Md Zain,"Professor of Department of Chemistry, University of Malaya",39,106,5374
Niranjan Sahoo,"Professor in Mechanical Engineering, IIT Guwahati",35,120,5333
pradyumna kumar Sahoo,Siksha O Anusandhan (Deemed to be university),6,6,437
Professor Pramod Kumar Rai,"Dr. Harisingh Gour Vishwavidyalaya, Sagar, M. P.",11,16,583
Ramesh Chandra Sahoo,"Research Scholar, Centre for Nano and Soft Matter Sciences",7,5,189
Ramkrishna Sahoo,"Scientist, DST, Ministry of Science and Technology",27,36,2184
Ranjan Kumar Behera,"Associate Professor of Electrical Engineering, Indian Institute of Technology Patna",33,82,2878
Saroja Narsing Rao,"Assistant Professor ,University of Agricultural Sciences Raichur",8,8,682
Ratnakar Dash,"Associate professor, CSE  Department , NIT Rourkela",29,57,2995
Ritesh Agarwal,"Department of Pulmonary Medicine, PGIMER, Chandigarh",84,398,27135
Rituparna Saha,Phd. IIT Kharagpur,9,9,347
Roshan Kumar Singh,"Mahishadal Raj College, West Bengal",18,23,1018
Dr. Sachidananda Sahoo,"Assistant Professor,Dept. of Mathematics, S.C.S.(Autonomous) College, Puri -752001",8,4,198
Sadhna Dash,Dr Sadhna Dash,4,2,103
Saikat Kumar Das,Samsung R&D Institute India - Bangalore,35,104,6691
Samik Basu,"Professor of Computer Science, Iowa State University",29,76,3063
Sandeep Kumar Rout,"SRF, Physical Research Laboratory",3,1,23
sangram keshari mohapatra,Assistant Professor Pulmonary Medicine,2,0,14
Sanjay Kumar Behera,"PhD student, Raman Research Institute",3,2,47
Dr. Sanjay Kumar Nayak,Professor of Psychology,3,2,54
Dr. Sanjay Kumar Sahu,Environmental Scientist,32,74,3969
Dr.P.Santosh Kumar Patra,Principal & Professor in Computer Science and Engineering,8,5,204
Sarat Kumar Patra,"Director, NIT Agartala, Professor (On-deputation from ECE, NIT Rourkela) India",22,65,2157
Saroj K Sahu,"Chief Scientist, Science Cadets",28,51,6093
Dr. Soudamini Behera,"Electrical Engineering, Government College of Engineering,Kalahandi",5,2,62
Dr. Sasmita Das,P.hD life Sciences,30,117,5142
Sasmita Mishra,Indira Gandhi Institute Of Technology Odisha,27,46,2785
ASHOK KUMAR SATAPATHY,Scientist-F (Retd),17,25,782
Dr. Soumya Ranjan Nayak,"World's Top 2% Scientist List @ Stanford University, KIIT University, India",30,77,3223
"Saurabh Singh Kushwaha (M.Pharma, Pharmaceutics)","Assistant Professor, Dayanand Dinanath College, Institute of Pharmacy",23,66,2748
Seema Mishra,"Professor , Department of Onco-Anaesthesia and Palliative Medicine AIIMS , NEW DELHI",30,103,3776
Dr. Chandra Sekhar Panda,Sambalpur University,9,9,242
Dr. Shankar Lal,"Associate Professor of mathematics, H.N.B. Garhwal University, S.R.T. Campus, Badshhithaul",50,278,12662
Dr. Shantanu Kumar Sahu,Professor of General Surgery,19,35,1661
Shishir Kumar Sahu,NIT Rourkela,25,48,1946
Shree Prakash Pathak,Mechanical Design Specialist,1,1,50
Shreyansh Kumar,Vellore Institute of Technology,38,172,8823
siba sankar mahapatra,National Institute of Technology,68,290,19004
Siddhartha Sankar Das,Associate Professor,30,116,34147
Siddharth Kumar Das,"Former Prof. Rheumatology, King George's Medical University",32,84,15863
Snehashish Chatterjee,"Institute of Low Temperature and Structure Research, Polish Academy of Science",5,4,107
Subash Chandra Sahoo,Panjab University Chandigarh,34,84,4418
Subhamoy Ganguly,University of Auckland Business School,5,4,125
Dr. Sudhir Kumar Jena,"Rajiv Gandhi University( A Central University), Itanagar, Arunachal Pradesh",5,2,71
Professor Sudhir Kumar Sahu,Ravenshaw University Cuttack Odisha,12,15,523
sujata Saha Das,"BRIT, DAE",37,138,6823
Sujit K Sahu,"Professor of Statistics, University of Southampton, UK",34,59,6088
Dr. Sunil Kumar Behera,"Assistant Professor, Department of Biotechnology, Berhampur University, Berhampur, India",14,17,667
Dr Sunil kumar Singh,PG in Community Medicine,71,401,22223
"Surajit Das, Ph.D.","Professor, Dept of Life Science, National Institute of Technology, Rourkela, Odisha",56,127,10021
Sutapa Biswas Majee,Associate Professor,14,17,762
T. K. Das,"Professor Emeritus of Strategic Management, City University of New York, New York, USA",45,64,30610
Tarun Kumar Sahu,"Research Scholar, IIT Indore",2,0,13
Tathagata Saha,"PhD Candidate, Nicolaus Copernicus Astronomical Center of the Polish Academy of Science",4,4,106
"Umashanker Sahu,PhD","Professor, ECE, N I T T T R, Chennai, India",2,0,7
Upendra Kumar Sahoo,"Asst. Professor, Dept. of ECE, Electrical Science Building, Room No-EC 213, NIT Rourkela, Odisha",10,11,330
"Utkarsh Jain, PhD","School of Health Sciences and Technology, UPES, Dehradun 248007, Uttarakhand, India",30,68,2798
Uttam Kumar Sahoo,"Department of Forestry, Mizoram University, Aizawl",32,102,3572
Dr. Vaishali Dixit,Associate Professor,8,8,1510
Dr Shanta Kumari Adiki,"Sarojini Naidu Vanita Pharmacy Maha Vidyalaya, Hyderabad, Telangana, India",12,16,742
Tejaswi Venumadhav,"Member, Institute for Advanced Study",26,46,3400
"Vinod Kumar Gupta, FWIF,FNASc, FRSC","Professor Abdulazeez University; Jedeha, Saudi Arabia;Thomson Highly Cited Researcher",202,907,141173
Dr.Vinod Kumar Verma,Assistant Professor,13,18,539
Narayan Chandra Sahu,"Head, Sasya Shyamala Krishi Vigyan Kendra, Ramakrishna Mission Vivekananda University",8,6,381
Yogesh Kumar Sahu,Research Fellow,2,2,94
Yogeshwar Nath Mishra,NASA-Caltech,16,24,819
Abhishek Kumar Singh,"Professor of Physics, Princeton University",79,699,33428
Amit Kumar Pandey,Translational Health Science and Technology Institute,19,23,3643
Akshata Moghe,University of Texas Health Science Center at Houston,15,17,2293
Amitha Domalpally,"university of Wisconsin,madison",37,71,6773
V V V Amruth Kumar,"Associate Professor, P.V. Narsimha Rao . Telangana Veterinary University",38,168,7230
Ashutosh Vijay Kotwal,Duke University,254,1399,286045
Avinash Dixit,Princeton University,90,228,95266
bharath hariharan,Cornell University,52,77,55624
Anand Babu Perumal,"Post-Doctoral Research fellow, Zhejiang University, China",20,27,1799
Deepti Jaiswal Kundu,EMBL-EBI European Bioinformatics Institute,13,13,12960
Jay Narayan,"John C. Fan Family Distinguished Chair Professor of Materials Science, North Carolina State",94,558,37689
Harish Potti,"Postdoctoral Researcher, The University of Sydney",134,513,66295
jayaram Chandrashekar,Allen Institute for Neural Dynamics,29,30,18260
K.R. Rajagopal,Texas A&M University,96,495,36770
RAJAN K.S.,SASTRA,36,69,3809
Kailash Bhatia,"Professor of Clinical Neurology, Institute of Neurology, UCL, Queen Square, London WC1N 3BG,",136,662,77915
Lohit Garg,University of Colorado Anschutz Medical Campus,23,45,1776
KRISHNA M B,"Assistant Professor, Department of Commerce and Management, Amrita Vishwa Vidyapeetham",3,1,34
Dr Murigendra Hiremath,"Department of Biotechnology & Microbiology,Karnatak University, Dharwad, India",27,68,2557
Nitya Narasimhan,Microsoft,12,15,1024
Dr. Navin Kumar Mogha,"Deputy Manager, Bharat Certis Agriscience Ltd.",19,25,1013
Nita Bhandari,Society for Applied Studies,68,189,21071
Mayur Naik,"Misra Family Professor of Computer Science, University of Pennsylvania",40,74,11557
Dr. P.S.Ravindra,"Professor of Mgt, Vice-Principal & Dean-Admin, Vignan's Institue of Information Technology (A)",5,2,63
Dr. Prashant Shukla,Bhabha Atomic Research Centre,217,1098,229152
K. Rajender Reddy,University of Pennsylvania,126,591,95279
kumbharkhane A.C.,"Swami Ramanand Teerth Marathwada University, Nanded",28,77,3169
Dr. Santhosh Kumar PK,"Assistant professor, KSRDPR University",108,842,55937
Dr. Saroj  Kumar Singh,"B.N.Mandal University, Madhepura, Bihar, India",44,275,11393
"B Shivananda Nayak,","The University of The west Indies, Professor of Biochemistry",40,74,5581
Professor Kadambot H.M. Siddique,The University of Western Australia,132,769,65447
Manam Sreenivasa Rao,Principal C.R. Degree College,6,5,113
Sudarshan Karki,"Postdoctoral Scholar, Missouri University of Science and Technology",100,186,98627
Sudhir Kumar,"Director, iGEM, Carnell Professor of Biology, Temple University",86,192,310162
Sunanda Gupta,University of calcutta,42,167,9307
Vishnu Bhat Ballambattu,Professor of Pediatrics and Neonatology,38,96,5016
Amit Chaturvedi,"JS University Shikohabad, U. P., India",14,22,701
Amit Jaiswal,"Lecturer, Food Technology & Industrial Biotechnology, TU Dublin - City Campus",52,98,10687
Somesh Jha,"Lubar Chair of Computer Science, University of Wisconsin",93,252,53674
Vikas Sindhwani,Google DeepMind Robotics,53,111,18327
AMIT KUMAR,college,168,1916,151128
Arun Kumar,Space Science,122,814,58169
Ashwani Kumar,Guru kashi university,100,805,48658
Deepti Gupta,"Professor of Textile, IIT Delhi",34,79,4800
Gurpreet Kaur,Postdoctoral researcher at Stockholm University,67,523,27408
Gurpreet Singh,Punjabi University Patiala,90,680,40589
Harmit Singh Malik,"Member, Basic Sciences, Fred Hutchinson Cancer Research Center",72,131,23952
Kanwardeep Singh,"Professor of Microbiology, Government Medical College Amritsar",25,57,2524
Kuldeep Singh,"Assistant professor, Zucker School of Medicine, Staten Island University Hospital",55,347,17512
Mandeep   kaur,Assistant Professor,36,145,9364
